t,sensor_depth_z,sensor_depth_z_true,sensor_depth_z_bias,sensor_depth_z_noise,sensor_attitude_roll,sensor_attitude_roll_true,sensor_attitude_roll_bias,sensor_attitude_roll_noise,sensor_attitude_pitch,sensor_attitude_pitch_true,sensor_attitude_pitch_bias,sensor_attitude_pitch_noise,sensor_attitude_yaw,sensor_attitude_yaw_true,sensor_attitude_yaw_bias,sensor_attitude_yaw_noise,sensor_gyro_p,sensor_gyro_p_true,sensor_gyro_p_bias,sensor_gyro_p_noise,sensor_gyro_q,sensor_gyro_q_true,sensor_gyro_q_bias,sensor_gyro_q_noise,sensor_gyro_r,sensor_gyro_r_true,sensor_gyro_r_bias,sensor_gyro_r_noise,sensor_dvl_u,sensor_dvl_u_true,sensor_dvl_u_bias,sensor_dvl_u_noise,sensor_dvl_v,sensor_dvl_v_true,sensor_dvl_v_bias,sensor_dvl_v_noise,sensor_dvl_w,sensor_dvl_w_true,sensor_dvl_w_bias,sensor_dvl_w_noise
4.41,10.00148966789997,10.005425580058422,-0.010748366301390833,0.006812454142938695,-0.0005816510244175989,-0.005781946036500507,-0.0011105867031148474,0.006310881715197756,-0.015846411011170847,-0.004878384219945353,0.00011162871187435136,-0.011079655503099844,2.557983855428052,2.572772688670794,0.003534944570134827,-0.018323777812876568,0.004922544067748504,0.0063995691548362705,0.00027868150664405096,-0.0017557065937318177,-0.002109803371038142,-0.00592270497399304,0.0001325299622491251,0.0036803716407057727,0.14534749001564823,0.1480032004187996,-0.000677787816922016,-0.0019779225862293763,-0.541106089851121,-0.5477981377136717,0.0068733103943305045,-0.00018126253177977537,-0.4415391204454449,-0.412567826829973,-0.009869456699525898,-0.019101836915946,-0.01901371890372202,-0.005470138662495041,-0.004196408858150414,-0.009347171383076563
4.4399999999999995,,,,,-0.0022684004040156754,-0.005549208871040712,-0.0011105867031148474,0.004391395170139884,-0.008394263048710071,-0.004835402944658451,0.00011162871187435136,-0.0036704888159259713,2.5795667902819526,2.5771350017001913,0.003534944570134827,-0.0011031559883734083,0.011118635877121866,0.008883243235031453,0.00027868150664405096,0.001956711135446362,0.0015083597683645184,0.0006369634037084355,0.0001325299622491251,0.0007388664024069577,0.14385481905574132,0.1432250308269652,-0.000677787816922016,0.0013075760456981327,,,,,,,,,,,,
4.47,9.99095421182853,10.005077848851299,-0.010748366301390833,-0.003375270721377477,-0.002545189051510667,-0.005491113775587753,-0.0011105867031148474,0.004056511427191933,-0.006100213962161349,-0.005071162975937238,0.00011162871187435136,-0.0011406796980984624,2.5755762984097545,2.581329416556134,0.003534944570134827,-0.009288062716513786,-0.0004957331722483944,-0.00015878237947895314,0.00027868150664405096,-0.0006156322994134922,-0.01080195924000269,-0.007017586708188578,0.0001325299622491251,-0.003916902494063236,0.1360667408434057,0.1366392010743771,-0.000677787816922016,0.00010532758595060118,,,,,,,,,,,,
4.5,9.981380170046044,10.004906297000792,-0.010748366301390833,-0.012777760653357095,-0.0076728797402573655,-0.005543687471262437,-0.0011105867031148474,-0.0010186055658800805,-0.000705698407393378,-0.005029980219111163,0.00011162871187435136,0.004212653099843434,2.5785219398540384,2.585372339701868,0.003534944570134827,-0.010385344417964229,0.0012572874211407036,-0.001214786486463753,0.00027868150664405096,0.0021933924009604057,-0.0021396780968524175,0.0008629717053435376,0.0001325299622491251,-0.0031351797644450802,0.1313167930176629,0.13327035053971958,-0.000677787816922016,-0.0012757697051346785,-0.5664403748962671,-0.5469068739009277,0.0068733103943305045,-0.02640681138966986,-0.4154944904374699,-0.416319222482702,-0.009869456699525898,0.010694188744757986,0.014812775592765044,-0.005197045817482369,-0.004196408858150414,0.024206230268397827
4.53,,,,,-0.0033682878509731186,-0.005597626123722943,-0.0011105867031148474,0.0033399249758646722,-0.009271817808279502,-0.005156394087597604,0.00011162871187435136,-0.004227052432556249,2.59692585265511,2.5893306180537667,0.003534944570134827,0.004060290031208256,0.0004000427053535724,-0.000887606830873552,0.00027868150664405096,0.0010089680295830735,-0.004446138197599313,-0.003884210395436281,0.0001325299622491251,-0.0006944577644121578,0.12790647697987653,0.13063249426339524,-0.000677787816922016,-0.002048229466596692,,,,,,,,,,,,
4.56,10.031996951141677,10.004574769637683,-0.010748366301390833,0.038170547805384994,-0.007299477592807641,-0.005540306566289566,-0.0011105867031148474,-0.0006485843234032275,-0.00928714279147105,-0.005630143390746856,0.00011162871187435136,-0.003768628112598545,2.602436383191321,2.593193152199694,0.003534944570134827,0.00570828642149197,0.006065805777215361,0.003946402503905992,0.00027868150664405096,0.0018407217666653183,-0.013863776770677756,-0.014101234724285427,0.0001325299622491251,0.00010492799135854681,0.11733296660841235,0.12662904048658752,-0.000677787816922016,-0.008618286061253162,,,,,,,,,,,,
4.59,,,,,-0.006913781089966418,-0.005482655080742749,-0.0011105867031148474,-0.00032053930610882156,-0.00360294233977678,-0.0058013914954453405,0.00011162871187435136,0.0020868204437942094,2.575991388000169,2.5969371500012075,0.003534944570134827,-0.024480706571173388,-0.0008364191176792406,0.0021182984949261957,0.00027868150664405096,-0.003233399119249487,-0.008766601821429042,-0.005443659395573149,0.0001325299622491251,-0.003455472388105017,0.115291385620802,0.1232745490134218,-0.000677787816922016,-0.007305375575697779,,,,,,,,,,,,
4.62,10.008682121901863,10.004219809467534,-0.010748366301390833,0.015210678735719114,-0.014435295901747504,-0.00551571229974801,-0.0011105867031148474,-0.007808996898884647,-0.008368874476313515,-0.005904760926728869,0.00011162871187435136,-0.0025757422614589966,2.626860577151427,2.6005844423254807,0.003534944570134827,0.02274119025581126,0.00044471899113497225,-0.00119240264213415,0.00027868150664405096,0.0013584401266250714,0.0018824656137867643,-0.003111048463097529,0.0001325299622491251,0.004860984114635168,0.11362760569807501,0.1200949996708504,-0.000677787816922016,-0.005789606155853379,-0.5149102188137016,-0.5423592222710515,0.0068733103943305045,0.020575693063019415,-0.4324462644156074,-0.4207224039158335,-0.009869456699525898,-0.0018544038002480127,-0.011541919758597575,-0.005055209853984332,-0.004196408858150414,-0.002290301046462829
4.6499999999999995,9.999427342098414,10.004037116787506,-0.010748366301390833,0.006138591612299554,-0.006084025700392475,-0.005319533089289674,-0.0011105867031148474,0.0003460940920120475,0.0009847604265559584,-0.006209476755882459,0.00011162871187435136,0.007082608470564067,2.588629155866585,2.604124930027046,0.003534944570134827,-0.019030718730595735,0.014169531531550119,0.010314482295176628,0.00027868150664405096,0.0035763677297294396,-0.007156581323357225,-0.009277459229884577,0.0001325299622491251,0.001988347944278227,0.1152093216716096,0.1157994988163398,-0.000677787816922016,8.76106721918222e-05,,,,,,,,,,,,
4.68,,,,,-0.0038850806713160136,-0.0050232663890046325,-0.0011105867031148474,0.0022487724208034667,-0.002087522652158569,-0.006152236367991559,0.00011162871187435136,0.003953085003958639,2.6089558826728063,2.6075139219522896,0.003534944570134827,-0.002092983849618051,0.017353939970562355,0.010110192707303898,0.00027868150664405096,0.006965065756614407,0.007996963615866813,0.001434343513074813,0.0001325299622491251,0.006430090140542875,0.11558131536622246,0.11065403944063973,-0.000677787816922016,0.0056050637425047395,,,,,,,,,,,,
4.71,9.981167614218363,10.003646994683486,-0.010748366301390833,-0.011731014163733042,-0.0007074198518046589,-0.00475511971581799,-0.0011105867031148474,0.005158286567128179,-0.012967557903212079,-0.005929139402482075,0.00011162871187435136,-0.007150047212604355,2.6236967091077124,2.610763935384681,0.003534944570134827,0.009397829152896341,0.008279955803891346,0.008821661663482225,0.00027868150664405096,-0.0008203873662349293,0.007369291822230396,0.0062733324087729985,0.0001325299622491251,0.0009634294512082719,0.11078837835969291,0.10644547014881513,-0.000677787816922016,0.005020696027799792,-0.5263906710093799,-0.5414842423650532,0.0068733103943305045,0.008220260961342825,-0.433758000694893,-0.42155551479548575,-0.009869456699525898,-0.002333029199881355,0.03998562055247722,-0.005427161142535563,-0.004196408858150414,0.0496091905531632
4.74,,,,,-0.002276241569564313,-0.004479581220595552,-0.0011105867031148474,0.003313926354146087,-0.006868367894905202,-0.005698998082832585,0.00011162871187435136,-0.001280998523946968,2.611593720621261,2.613906075164124,0.003534944570134827,-0.0058472991129976774,0.0052893881124700184,0.009554226939956128,0.00027868150664405096,-0.00454352033413016,0.006683737478342773,0.006611134226514252,0.0001325299622491251,-5.992671042060472e-05,0.10290059619767956,0.10329844639447094,-0.000677787816922016,0.0002799376201306298,,,,,,,,,,,,
